No,Test,lprice,SDC PRICE,CELLPRICE,STERLING,INVITRO,UNIPRICE,Sample,,
103,C/S Sputum,650,,,,,,SPUTUM,,
104,CA 125,900,,,,,,SERUM,,
105,CA 15.3,1000,,,,,,SERUM,,
106,CA 19.9,1000,,,,,,SERUM,,
107,Calcitonin,1200,,,,,,Serum,,
108,CALCIUM,250,,,,,,SERUM,,
109,Cardiac Profile,1600,,,,,,SERUM;URINE,,
110,CBC,250,,,,,,WBEDTA,,
111,CBC ESR,300,,,,,,WBEDTA;ESR,,
112,CD4 CD8 Count,1800,,,,,,WBEDTA;SERUM,,
113,CEA,700,,,,,,SERUM,,
114,Ceruloplasmin(Copper Oxidase),600,,,,,,SERUM,,
115,Chikungunya IgG,700,,,,,,SERUM,,
116,Chikungunya IgM,700,,,,,,SERUM,,
117,Chikungunya RNA Qualitative Detection by PCR,2500,,,,,,EDTA;PLAIN,,
118,Chlamydia IgA,900,,,,,,SERUM,,
119,CHLORIDE,200,,,,,,SERUM,,
120,CHOLESREROL,150,,,,,,SERUM,,
121,CHOLINESTERASE Plasma,800,,,,,,WBEDTA,,
122,CHOLINESTERASE RBCs,800,,,,,,SERUM,,
123,CHOLINESTERASE Serum,800,,,,,,SERUM,,
124,ChromoGranin  A (CGA),7000,,,,,,SERUM,,
125,CK MB,600,,,,,,SERUM,,
126,CMV IgG,350,,,,,,SERUM,,
127,CMV IgM,350,,,,,,SERUM,,
128,COMPLETE METABOLIC PANNEL (CMP),1500,,,,,,SERUM;HEPARIN,,
129,Comprehensive Check Up,3500,,,,,,WBEDTA;SERUM;URINE;ECG;XRAY;PFT,,
130,Comprehensive health Scan,3000,,,,,,WBEDTA;SERUM;URINE;ECG;XRAY;PFT,,
131,COOMBS' TEST - INDIRECT,500,,,,,,WBEDTA;SERUM,,
132,Copper,800,,,,,,SERUM,,
133,CORTISOL 4 PM,550,,,,,,SERUM,,
134,CORTISOL 8 AM,550,,,,,,SERUM,,
135,CORTISOL 8 PM,550,,,,,,SERUM,,
136,Cotinine Urine Test,500,,,,,,Serum,,
137,CPK TOTAL,600,,,,,,SERUM,,
138,CREATININE,200,,,,,,SERUM,,
139,Creatinine Clearance,400,,,,,,SERUM;URINE,,
140,CRP,350,,,,,,SERUM,,
141,Cryptococcal Antigen CSF,1000,,,,,,CSF,,
142,CS AFB,1000,,,,,,SPECIMEN,,
143,CS CSF,800,,,,,,,,
144,CS FUNGUS,650,,,,,,SPECIMEN,,
145,CS GENERAL,650,,,,,,SPECIMEN,,
146,CS PUS,650,,,,,,SPECIMEN,,
147,CS SPUTUM,650,,,,,,SPECIMEN,,
148,CS STOOL,650,,,,,,SPECIMEN,,
149,CS SWAB,650,,,,,,SPECIMEN,,
150,CS THROAT SWAB,650,,,,,,SPECIMEN,,
151,CS URINE,650,,,,,,URINE,,
152,CSF OLIGLOCONAL BAND,3300,,,,,,CSF,,
153,CSF R&M,650,,,,,,CSF,,
154,Cyclosporin,2000,,,,,,WBEDTA,,
155,CYTOLOGY,600,,,,,,SPECIMEN,,
156,D 3,1250,,,,,,SERUM,,
157,D-DIMER,1200,,,,,,CITRATEPLASMA,,
158,Dengue IgG (Elisa),600,,,,,,SERUM,,
159,Dengue IgM (ELISA),600,,,,,,SERUM,,
160,Dengue NS1Ag (Elisa),1000,,,,,,SERUM,,
161,Dengue PCR,2000,,,,,,ASK SUPIRIOR,,
162,Dental Check up,200,,,,,,DENTAL,,
163,Dev Diabetes Mx Progamme,550,,,,,,WBEDTA;SERUM;URINE,,
164,DHEA -S,650,,,,,,SERUM,,
165,Diabetic Profile,1000,,,,,,WBEDTA;SERUM;FBSFL;URINE;PPBSFL;PPUS,,
166,DIC profile,2600,,,,,,WBEDTA;SERUM;CITRATEPLASMA,,
167,Digoxin (Lanoxin),650,,,,,,SERUM,,
168,DIRECT COOMBS TEST,400,,,,,,WBEDTA;SERUM,,
169,Double Marker Profile (9 to 13.5 Week),2000,,,,,,PLAIN,,
170,E Visit,50,,,,,,,,
171,ECG,200,,,,,,ECG,,
172,ECO CARDIOGRAM,1000,,,,,,,,
173,ELECTROLYTES,600,,,,,,SERUM,,
174,EMMERGANCY CHARGES,150,,,,,,,,
175,ESR,100,,,,,,WBEDTA,,
176,ESTRADIOL (E 2),450,,,,,,SERUM,,
177,ESTRIOL E3 (FREE/UNCONJUGATED),900,,,,,,SERUM,,
178,Eye check up,200,,,,,,MER,,
179,FACTOR V LEVEL,2500,,,,,,CITRATEPLASMA,,
180,FBS,40,,,,,,FBSFL;URINE,,
181,FBS & PPBS,80,,,,,,FBSFL;URINE;PPBSFL;PPUS,,
182,FBS/PG2BS,80,,,,,,FBSFL;URINE;PG2BSFL;URINE,,
183,FDP,750,,,,,,CITRATE PLASMA,,
184,FERITIN,600,,,,,,SERUM,,
185,Fever Profile,400,,,,,,WBEDTA;SERUM;URINE,,
186,FIBRINOGEN,600,,,,,,CITRATEPLASMA,,
187,Fluid Cytology (Cell block),1500,,,,,,SPECIMEN,,
188,Fluid RM,600,,,,,,FLUID,,
189,FNAC,1000,,,,,,SMEARS,,
190,FOLIC ACID,700,,,,,,SERUM,,
191,FORM 1 (MER),0,,,,,,,,
192,Free Light Chain Analysis (FLC,5500,,,,,,SERUM,,
193,FREE PSA,900,,,,,,SERUM,,
194,Free Testosterone,850,,,,,,SERUM,,
195,FSH,450,,,,,,SERUM,,
196,"FSH Pooled (0,20,60)",500,,,,,,SERUM,"6,20,60",
197,FT3,300,,,,,,SERUM,,
198,FT3 FT4 TSH,850,,,,,,SERUM,,
199,FT4,300,,,,,,SERUM,,
200,FT4 TSH,550,,,,,,SERUM,,
201,G6PD,450,,,,,,WBEDTA,,
202,GASTRIN,2000,,,,,,SERUM,,
203,GENE X PERT TB,3000,,,,,,,,
204,GFR,800,,,,,,,,
205,GFT ESTIMATED (eGFR),250,,,,,,SERUM,,
206,GGT (Gamma GT),450,,,,,,SERUM,,
207,Giemsa Stain,200,,,,,,SPECIMEN,,
208,GLYCOSYLATED HB(HbA1C),500,,,,,,WBEDTA,,
209,Gram Stain.,200,,,,,,SPECIMEN,,
210,GROUP,100,,,,,,WBEDTA,,
211,GROWTH HORMONE,750,,,,,,SERUM,,
212,GTT 3 Sample,250,,,,,,FBSFL;URINE;1HRBS;1HRUS;2HRBS;2HRUS,,
213,GTT 5 Sample,400,,,,,,FBS;URINE;1HRBS;1HRUS;2HRBS;2HRUS,,
214,GTT 5 SAMPLE,400,,,,,,ASK SUPERIOR,,
215,H Pylori IgA,600,,,,,,SERUM,,
216,H Pylori IgG,600,,,,,,SERUM,,
217,H Pylori IgM,600,,,,,,SERUM,,
218,HAV IgM,700,,,,,,SERUM,,
219,HB,80,,,,,,WBEDTA,,
220,HB ELECTROPHORESIS,700,,,,,,WBEDTA,,
221,HBA1C,500,,,,,,WBEDTA,,
222,HBeAG,700,,,,,,SERUM,,
223,HBsAg,250,,,,,,SERUM,,
224,HBsAg BY ELISA,250,,,,,,SERUM,,
225,HBV DNA quantitative RT PCR,5000,,,,,,WBEDTA;SERUM,,
226,HC (Health Check) I,800,,,,,,EDTA;SERUM;URINE,,
227,HC (Health Check) II,2000,,,,,,WBEDTA;SERUM;URINE,,
228,HC (Health Check) III,3000,,,,,,WBEDTA;SERUM;URINE;PPBSFL;PPUS,,
229,HC(Health Check) IV FEMALE,3000,,,,,,WBEDTA;SERUM;URINE;PPBSFL;PPUS,,
230,HC(Health Check) IV MALE,3000,,,,,,WBEDTA;SERUM;URINE;PPBSFL;PPUS,,
231,HCV (Anti HCV),650,,,,,,SERUM,,
232,HDL Cholesterol,200,,,,,,SERUM,,
233,Health Check (Dr AJP),700,,,,,,WBEDTA;SERUM;URINE,,
234,Health Scan I,750,,,,,,WBEDTA;SERUM;URINE,,
235,Health Scan II,1500,,,,,,WBEDTA;SERUM;URINE,,
236,Health Scan III,2000,,,,,,WBEDTA;SERUM;URINE;PPBSFL;PPUS,,
237,Health Scan IV FOR Female,2500,,,,,,WBEDTA;SERUM;URINE;PPBSFL;PPUS;STOOL,,
238,Health Scan IV FOR Male,2500,,,,,,WBEDTA;SERUM;URINE;PPBSFL;PPUS;STOOL,,
239,Heavy Metals,6000,,,,,,WBEDTA,,
240,Hemoglobinuria,250,,,,,,URINE,,
241,HEV IgM,850,,,,,,SERUM,,
242,HISTOPATHOLOGY EXAMINATION,1200,,,,,,SPECIMEN,,
243,HIV,500,,,,,,SERUM,,
244,HIV & HBsAg,750,,,,,,SERUM,,
245,HIV WESTERN BLOT,2100,,,,,,SERUM,,
246,HLAB27,1800,,,,,,WBEDTA,,
247,HOMOCYSTINE,1000,,,,,,SERUM,,
248,HOTEL FORMULA ONE CAMP,400,,,,,,WBEDTA;SERUM;URINE,,
249,HS CRP,500,,,,,,SERUM,,
250,HSV -I IgG,350,,,,,,SERUM,,
251,HSV -I IgM,350,,,,,,SERUM,,
252,HSV II IgG,350,,,,,,SERUM,,
253,HSV II IgM,350,,,,,,SERUM,,
254,IgA,550,,,,,,SERUM,,
255,IgE,550,,,,,,SERUM,,
256,IGF I,1400,,,,,,SERUM,,
257,image,0,,,,,,,,
258,Immunofixation electrophoresis,4800,,,,,,SERUM;HISTORY,,
259,IMMUNOPHENOTYPING (LymphomaPan,8500,,,,,,WBEDTA,,
260,INDIAN INK PREPERATION,1000,,,,,,CSF,,
261,Inhibin A,1800,,,,,,SERUM,,
262,Inhibin B,2000,,,,,,SERUM,,
263,INSULIN Fasting,600,,,,,,SERUM,,
264,INSULIN PP,600,,,,,,SERUM,,
265,Inteleukin 6 (IL 6),2500,,,,,,SERUM,,
266,IONIC CALCIUM,500,,,,,,SERUM,,
267,IRON,400,,,,,,SERUM,,
268,K,200,,,,,,SERUM,,
269,KAMLESH FATANIA BASIC,0,,,,,,SERUM;FBSFL;URINE;PPBSFL;PPUS,,
270,KAMLESH FATANIA DIABETIC PROFILE,0,,,,,,FBSFL;URINE;PPBSFL;PPUS;SERUM,,
271,KCCB CAMP,60,,,,,,WBEDTA;PLAIN;MER,,
272,KOH Examination for fungal elements,200,,,,,,SPECIMEN,,
273,LACTATE,500,,,,,,WBHEP,,
274,LBC PAP,1000,,,,,,SMEAR,,
275,LDH,500,,,,,,SERUM,,
276,Leptospira IgM & IgG,1600,,,,,,SERUM,,
277,LFT,700,,,,,,SERUM,,
278,LFT with GGT,1000,,,,,,SERUM,,
279,LFT With PT,800,,,,,,SERUM;CITRATEPLASMA,,
280,LH,450,,,,,,SERUM,,
281,"LH Pooled (0,20,60)",500,,,,,,SERUM,"6,20,60",
282,LIPASE,500,,,,,,SERUM,,
283,Lipase (Fluid),500,,,,,,FLUID,,
284,LIPID PROFILE,600,,,,,,SERUM,,
285,Lithium,650,,,,,,SERUM,,
286,"Liver Immunoblot (M2, LKM1, LC1, SLA, ACTIN)",3500,,,,,,Serum,,
287,LKM 1 (Liver kidney Microsomes Antibody),1800,,,,,,SERUM,,
288,LP (a),700,,,,,,SERUM,,
289,LUPUS ANTICOANGULANT,1000,,,,,,SERUM,,
290,Magnesium,400,,,,,,SERUM,,
291,MEDICAL HEALTH CHECK,85,,,,,,MER,,
292,merrpt,0,,,,,,,,
293,Metanephrine (Total),4500,,,,,,WBEDTA,,
294,MICROALBUMIN Urine,500,,,,,,URIEN,,
295,MMR Vaccination Titer,1500,,,,,,SERUM,,
296,MP ANTIGEN,400,,,,,,WBEDTA,,
297,MP BY PS,150,,,,,,WBEDTA,,
298,MT(Mountex Test),150,,,,,,,,
