172,FBS/PG2BS,60,
173,FDP,600,
174,FERITIN,350,
175,Fever Profile,,
176,Fever Profile 2,,
177,FIBRINOGEN,450,
178,Fluid Cytology (Cell block),1000,
179,Fluid RM,450,
180,FNAC,800,
181,FOLIC ACID,480,
182,Free Light Chain Analysis (FLC,5000,
183,FREE PSA,600,
184,Free Testosterone,600,
185,FSH,250,
186,"FSH Pooled (0,20,60)",300,
187,FT3,200,
188,FT3 FT4 TSH,550,
189,FT4,200,
190,FT4 TSH,350,
191,G6PD,350,
192,GASTRIN,1500,
193,GENE X PERT TB,2200,
194,GFT ESTIMATED (eGFR),300,
195,GGT (Gamma GT),200,
196,GLYCOSYLATED HB(HbA1C),250,
197,Gram Stain.,150,
198,GROUP,80,
199,GROWTH HORMONE,500,
200,GTT 3 Sample,100,
201,GTT 5 Sample,150,
202,GTT 5 SAMPLE,150,
203,H Pylori IgA,400,
204,H Pylori IgG,400,
205,H Pylori IgM,400,
206,HAV IgM,400,
207,HB,80,
208,HB ELECTROPHORESIS,400,
209,HBA1C,250,
210,HBeAG,400,
211,HBsAg,150,
212,HBsAg BY ELISA,200,
213,HBV DNA quantitative RT PCR,3500,
214,HC (Health Check) I,,
215,HC (Health Check) II,,
216,HC (Health Check) III,,
217,HC(Health Check) IV FEMALE,,
218,HC(Health Check) IV MALE,,
219,HCV (Anti HCV),350,
220,HDL Cholesterol,120,
221,Health Scan I,,
222,Health Scan II,,
223,Health Scan III,,
224,Health Scan IV FOR Female,,
225,Health Scan IV FOR Male,,
226,Hemoglobinuria,150,
227,HEV IgM,400,
228,HISTOPATHOLOGY EXAMINATION,800,
229,HIV,350,
230,HIV WESTERN BLOT,1500,
231,HLAB27,1250,
232,HOMA-IR & HOMA-B (BetaCell Fn),500,
233,HOMOCYSTINE,800,
234,HS CRP,350,
235,HSV -I IgG,250,
236,HSV -I IgM,250,
237,HSV II IgG,250,
238,HSV II IgM,250,
239,IgA,400,
240,IgE,320,
241,IGF I,1400,
242,IgG,350,
243,Immunofixation electrophoresis,4000,
244,IMMUNOPHENOTYPING (LymphomaPan,,
245,INDIAN INK PREPERATION,,
246,Inhibin A,1500,
247,Inhibin B,1800,
248,INSULIN Fasting,350,
249,INSULIN PP,350,
250,Inteleukin 6 (IL 6),1500,
251,IONIC CALCIUM,350,
252,IPF (Immmature Platelate Fract,150,
253,IRON,280,
254,K,100,
255,KOH Examination for fungal elements,100,
256,LACTATE,400,
257,LBC PAP,1000,
258,LDH,250,
259,Leptospira IgM & IgG,1400,
260,LFT,,
261,LFT with GGT,,
262,LFT With PT,,
263,LH,200,
264,"LH Pooled (0,20,60)",250,
265,LIPASE,350,
266,Lipase (Fluid),350,
267,LIPID PROFILE,250,
268,Lithium,400,
269,"Liver Immunoblot (M2, LKM1, LC1, SLA, ACTIN)",,
270,LKM 1 (Liver kidney Microsomes Antibody),1400,
271,LP (a),600,
272,LUPUS ANTICOANGULANT,1000,
273,Magnesium,250,
274,Metanephrine (Total),4000,
275,Meth Haemoglobin,1400,
276,MICROALBUMIN Urine,250,
277,MMR Vaccination Titer,,
278,MP ANTIGEN,100,
279,MP BY PS,80,
280,MT(Mountex Test),120,
281,Mucormycosis RTPCR,5000,
282,MYGLOBULIN SERUM,500,
283,MYGLOBULIN URINE,500,
284,N Mo Ab,5000,
285,Na,100,
286,NA & K,200,
287,NT pro BNP,1250,
288,OSMOLALITY Serum,480,
289,OSMOLALITY Urine,480,
290,Osmotic Fragility Test,500,
291,PAP SMEAR,250,
292,PARATHYROID HORMONE (PTH),550,
293,PG2BS,30,
294,PHENYTOIN (EPTOIN,,400
295,PHOSPHURUS,120,
296,PLATLET COUNT,80,
297,PLEURAL FLUID R/M,450,
298,Pnemocystitis Carini,2500,
299,Pneumo Slide Panel,4000,
