No,Test,Price
216,HCV (Anti HCV),350
217,HDL Cholesterol,120
218,Health Scan I,
219,Health Scan II,
220,Health Scan III,
221,Health Scan IV FOR Female,
222,Health Scan IV FOR Male,
223,Hemoglobinuria,150
224,HEV IgM,400
225,HISTOPATHOLOGY EXAMINATION,800
226,HIV,350
227,HIV WESTERN BLOT,1500
228,HLAB27,1250
229,HOMA-IR & HOMA-B (BetaCell Fn),500
230,HOMOCYSTINE,800
231,HS CRP,350
232,HSV -I IgG,250
233,HSV -I IgM,250
234,HSV II IgG,250
235,HSV II IgM,250
236,IgA,400
237,IgE,320
238,IGF I,1400
239,IgG,350
240,Immunofixation electrophoresis,4000
241,Inhibin A,1500
242,Inhibin B,1800
243,INSULIN Fasting,350
244,INSULIN PP,350
245,Inteleukin 6 (IL 6),1500
246,IONIC CALCIUM,350
247,IPF (Immmature Platelate Fract,150
248,IRON,280
249,K,100
250,KOH Examination for fungal elements,100
251,LACTATE,400
252,LBC PAP,1000
253,LDH,250
254,Leptospira IgM & IgG,1400
255,LFT,
256,LFT with GGT,
257,LFT With PT,
258,LH,200
259,"LH Pooled (0,20,60)",250
260,LIPASE,350
261,Lipase (Fluid),350
262,LIPID PROFILE,250
263,Lithium,400
264,"Liver Immunoblot (M2, LKM1, LC1, SLA, ACTIN)",
265,LKM 1 (Liver kidney Microsomes Antibody),1400
266,LP (a),600
267,LUPUS ANTICOANGULANT,1000
268,Magnesium,250
269,Metanephrine (Total),4000
270,Meth Haemoglobin,1400
271,MICROALBUMIN Urine,250
272,MMR Vaccination Titer,
273,MP ANTIGEN,100
274,MP BY PS,80
275,MT(Mountex Test),120
276,Mucormycosis RTPCR,5000
277,MYGLOBULIN SERUM,500
278,MYGLOBULIN URINE,500
279,N Mo Ab,5000
280,Na,100
281,NA & K,200
282,NT pro BNP,1250
283,OSMOLALITY Serum,480
284,OSMOLALITY Urine,480
285,Osmotic Fragility Test,500
286,PAP SMEAR,250
287,PARATHYROID HORMONE (PTH),550
288,PG2BS,30
289,PHENYTOIN (EPTOIN,
290,PHOSPHURUS,120
291,PLATLET COUNT,80
292,PLEURAL FLUID R/M,450
293,Pnemocystitis Carini,2500
294,Pneumo Slide Panel,4000
295,POC for Cytogenetic Analysis,5000
296,PORPHOBILINOGEN urine,200
297,Post Dinner Blood Sugar,30
298,POTASSIUM,100
299,PPBS,30
300,PRE OP MAJOR PROFILE,
301,PRE OP MAJOR PROFILE (SH),
302,PRE OP MAJOR PROFILE Extended,
303,PRE OP MINOR PROFILE,
304,PRE OP MINOR PROFILE Extended,
305,Pregnance Test,150
306,PRO CALCITONIN (PCT),2200
307,PROGESTERON,280
308,PROLACTIN,200
309,"Prolactin Pooled (0,20,60)",250
310,PROTEIN ALB GLOB WITH AG Ratio,100
311,PROTEIN C,2700
312,Protein Electrophoresis,450
313,PROTEIN S,3200
314,Prothrombin gene mutation (Factor II or Prothrombin G20210A),3000
315,PS FOR MP,80
316,PSA,280
317,PT,200
318,PTH,550
319,Pus RM,450
320,Quad Marker Scree(15-21 Weeks),1800
321,RA (RF),250
322,RBS,30
323,Renal Function Tests (RFT),
324,RENIL LEVEL,3200
325,RETIC COUNT,150
326,Rubella IgM,250
327,RUBELLIA IgG,250
328,Scrub Typhus Serology,1400
329,SEMEN Examination,250
330,SERUM OSMOLALITY,400
331,Serum protein electrophoresis,400
332,SGOT,100
333,SGPT,100
334,SICKLING TEST,200
335,SODIUM,100
336,Sputum  for A.F.B.,150
337,Sputum  for A.F.B. 3 days,400
338,SPUTUM EXAMINATION,450
339,STONE ANALYSIS,1150
340,STOOL R&M,200
341,Stool RM 3 Days,500
342,Stool RM 5 Days,800
343,SUGAR FBS AND PPBS,60
344,SYNOVIAL FLUID EXAMINATION,450
345,T3,150
346,T3 T4 TSH,300
347,T4,150
348,Tacrolimus Level,2200
349,TB GOLD GAMMA INTERFERON,2200
350,TB PCR,1500
351,TESTOSTERONE LEVEL,280
352,Thyrotropin(TSH) Receptor Ab (TRAb),2000
353,TIBC,400
354,TORCH COMPLEX 10 PARAMETER,1500
355,TORCH COMPLEX 8 PARAMETER,1200
356,Toxoplasma IgG,250
357,Toxoplasma IgM,250
358,TPHA,400
359,Triglycerides,100
360,Triple Marker (15 to 21 Weeks),2000
361,TROPONIN T,1000
362,TROPONIN-I,550
363,TSH,150
364,tTG IgA,800
365,tTG IgG,800
366,TUBERCULIN TEST,120
367,TYPHI DOT IgM ELISA,300
368,TYPHI DOT IgM/IgG,300
369,UPT,150
370,UREA,100
371,URIC ACID,100
372,URINE ABL/CREAT RATIO(Spot),350
373,URINE AFB,200
374,Urine Cloride,100
375,Urine Potassium,100
376,Urine Sodium,100
377,Vaccination Titer MMR,1500
378,VALPROIC ACID,480
379,Varicella Zoster Vaccination T,1500
380,varicella-zoster virus IgG,650
381,varicella-zoster virus IgM,650
382,VDRL/RPR,200
383,Viral Load HCV,4000
384,Weil�Felix test,1000
385,Widal,100
