,Test,Price_old,Aapm,Price,Cap_Check,Bottom_Check
130,Cryptococcal Antigen CSF,750,1100,940,160.00,2
131,CS AFB,700,1400,880,520.00,4
132,CS CSF,400,1200,500,700.00,0
133,CS ET,400,1200,500,700.00,0
134,CS FUNGUS,400,1200,500,700.00,0
135,CS GENERAL,400,1200,500,700.00,0
136,CS PUS,400,1200,500,700.00,0
137,CS SPUTUM,400,1200,500,700.00,0
138,CS STOOL,400,1200,500,700.00,0
139,CS SWAB,400,1200,500,700.00,0
140,CS THROAT SWAB,400,1200,500,700.00,0
141,CS URINE,400,1200,500,700.00,0
143,CSF R&M,500,700,620,80.00,-4
144,Cyclosporin,2000,2000,"2,000",0.00,-400
145,CYTOLOGY,600,1000,750,250.00,0
146,D 3,500,1400,650,750.00,20
147,D-DIMER,700,900,880,20.00,4
148,Dengue IgG (Elisa),350,700,450,250.00,10
149,Dengue IgM (ELISA),350,700,450,250.00,10
150,Dengue NS1Ag (Elisa),600,700,700,0.00,-40
151,Dengue PCR,1400,2200,"1,750",450.00,0
152,DENGUE Rapid,500,700,620,80.00,-4
153,DHEA -S,400,750,500,250.00,0
154,Diabetic Profile,850,1250,"1,080",170.00,14
156,Digoxin (Lanoxin),480,800,600,200.00,0
157,Dihydrotestosterone (DHT),800,1000,"1,000",0.00,0
158,DIRECT COOMBS TEST,400,600,500,100.00,0
159,Double Marker Profile (9 to 13.5 Week),1400,2000,"1,750",250.00,0
160,ELECTROLYTES,300,750,380,370.00,4
161,ESR,50,100,60,40.00,-2
162,ESTRADIOL (E 2),300,550,380,170.00,4
163,ESTRIOL E3 (FREE/UNCONJUGATED),650,1000,820,180.00,6
164,FACTOR V LEVEL,3000,4000,"3,750",250.00,0
165,FBS,30,80,40,40.00,2
166,FBS & PPBS,60,160,80,80.00,4
167,FBS/PG2BS,60,160,80,80.00,4
168,FDP,600,900,750,150.00,0
169,FERITIN,350,750,450,300.00,10
170,Fever Profile,350,600,450,150.00,10
171,Fever Profile with Dengue (Rapid),1100,2750,"1,400","1,350.00",20
172,Fever Profile with Dengue (ELISA),1800,4150,"2,250","1,900.00",0
173,Fever Profile with Dengue (RTPCR),2250,4250,"2,850","1,400.00",30
172,FIBRINOGEN,450,750,570,180.00,6
173,Fluid Cytology (Cell block),1000,1000,"1,000",0.00,-200
174,Fluid RM,450,600,560,40.00,-2
175,FNAC,800,1200,"1,000",200.00,0
176,FOLIC ACID,480,800,600,200.00,0
178,FREE PSA,600,1000,750,250.00,0
179,Free Testosterone,600,900,750,150.00,0
180,FSH,250,550,320,230.00,6
181,"FSH Pooled (0,20,60)",300,600,380,220.00,4
182,FT3,200,300,250,50.00,0
183,FT3 FT4 TSH,550,850,700,150.00,10
184,FT4,200,300,250,50.00,0
185,FT4 TSH,350,450,440,10.00,2
186,G6PD,350,550,440,110.00,2
188,GENE X PERT TB,2200,2500,"2,500",0.00,-200
189,GFT ESTIMATED (eGFR),300,400,370,30.00,-4
190,GGT (Gamma GT),200,550,250,300.00,0
191,GLYCOSYLATED HB(HbA1C),250,600,320,280.00,6
192,Gram Stain.,150,250,200,50.00,10
193,GROUP,80,200,100,100.00,0
194,GROWTH HORMONE,500,800,630,170.00,4
195,GTT 3 Sample,100,250,140,110.00,12
196,GTT 5 Sample,150,400,200,200.00,10
198,H Pylori IgA,400,800,500,300.00,0
199,H Pylori IgG,400,800,500,300.00,0
200,H Pylori IgM,400,800,500,300.00,0
201,HAV IgM,400,800,500,300.00,0
202,HBA1C,250,600,320,280.00,6
203,HBeAG,400,800,500,300.00,0
204,HBsAg,150,300,200,100.00,10
205,HBsAg BY ELISA,200,300,250,50.00,0
206,HBV DNA quantitative RT PCR,3500,5000,"4,380",620.00,4
212,HCV (Anti HCV),350,700,450,250.00,10
213,HDL Cholesterol,120,300,150,150.00,0
214,Health Scan I,450,1000,570,430.00,6
215,Health Scan II,850,2000,"1,080",920.00,14
216,Health Scan III,1200,3000,"1,500","1,500.00",0
217,Health Scan IV FOR Female,2000,4000,"2,500","1,500.00",0
218,Health Scan IV FOR Male,2100,4500,"2,640","1,860.00",12
219,Comprehensive Health Scan For Male,2600,6000,"3,250","2,750.00",0
220,Comprehensive Health Scan For Female,2500,6000,"3,150","2,850.00",20
219,Hemoglobin,80,150,100,50.00,0
220,Hemoglobin Electrophoresis,400,800,500,300.00,0
221,Hemoglobinuria,150,250,190,60.00,2
222,HEV IgM,400,800,500,300.00,0
223,HISTOPATHOLOGY EXAMINATION,800,2000,"1,000","1,000.00",0
224,HIV,350,600,440,160.00,2
225,HIV WESTERN BLOT,1500,2500,"1,900",600.00,20
226,HLAB27,1250,2000,"1,600",400.00,30
227,HOMA-IR & HOMA-B (BetaCell Fn),500,1000,650,350.00,20
228,HOMOCYSTINE,800,1200,"1,000",200.00,0
229,HS CRP,350,450,440,10.00,2
230,HSV -I IgG,250,400,320,80.00,6
231,HSV -I IgM,250,400,320,80.00,6
232,HSV II IgG,250,400,320,80.00,6
233,HSV II IgM,250,400,320,80.00,6
234,IgA,400,600,500,100.00,0
235,IgE,320,600,400,200.00,0
237,IgG,350,600,440,160.00,2
238,Immunofixation electrophoresis,4000,5200,"5,000",200.00,0
239,Inhibin A,1500,1800,"1,800",0.00,-60
240,Inhibin B,1800,2000,"2,000",0.00,-200
241,INSULIN Fasting,350,800,450,350.00,10
242,INSULIN PP,350,800,450,350.00,10
243,Inteleukin 6 (IL 6),1500,2000,"1,880",120.00,4
244,IONIC CALCIUM,350,600,450,150.00,10
245,IPF (Immmature Platelate Fract,150,200,190,10.00,2
246,IRON,280,500,350,150.00,0
247,K,100,250,140,110.00,12
248,KOH Examination for fungal elements,100,500,150,350.00,20
249,LACTATE,400,600,500,100.00,0
250,LBC PAP,1000,1500,"1,250",250.00,0
251,LDH,250,600,320,280.00,6
252,Leptospira IgM & IgG,1400,1400,"1,400",0.00,-280
253,LH,200,550,250,300.00,0
254,"LH Pooled (0,20,60)",250,600,320,280.00,6
255,LIPASE,350,600,440,160.00,2
256,Lipase (Fluid),350,600,440,160.00,2
257,LIPID PROFILE,250,700,320,380.00,6
258,Lithium,400,700,500,200.00,0
259,Liver Fuction Tests(without PT),450,700,560,140.00,-2
260,Liver Function Tests (With PT),550,850,700,150.00,10
261,LKM 1 (Liver kidney Microsomes Antibody),1400,2000,"1,750",250.00,0
262,LP (a),600,800,750,50.00,0
263,LUPUS ANTICOANGULANT,1000,1200,"1,200",0.00,-40
264,Magnesium,250,450,450,0.00,110
265,Medical Horoscope,800,1500,"1,000",500.00,0
268,MICROALBUMIN Urine,250,600,320,280.00,6
270,MP ANTIGEN,100,450,120,330.00,-4
271,MP BY PS,80,120,100,20.00,0
272,MT(Mountex Test),120,200,150,50.00,0
274,MYGLOBULIN SERUM,500,700,620,80.00,-4
275,MYGLOBULIN URINE,500,700,620,80.00,-4
276,N Mo Ab,5000,6000,"6,000",0.00,-200
277,Na,100,250,120,130.00,-4
278,NA & K,200,500,250,250.00,0
279,NT pro BNP,1250,2000,"1,580",420.00,14
280,OSMOLALITY Serum,480,800,600,200.00,0
281,OSMOLALITY Urine,480,800,600,200.00,0
282,Osmotic Fragility Test,500,700,630,70.00,4
283,PAP SMEAR,250,500,320,180.00,6
284,PARATHYROID HORMONE (PTH),550,900,700,200.00,10
285,PG2BS,30,80,40,40.00,2
287,PHOSPHURUS,120,250,150,100.00,0
288,PLATLET COUNT,80,250,100,150.00,0
289,PLEURAL FLUID R/M,450,600,560,40.00,-2
290,Pnemocystitis Carini,2500,3500,"3,120",380.00,-4
291,Pneumo Slide Panel,4000,6000,"5,000","1,000.00",0
293,PORPHOBILINOGEN urine,200,350,250,100.00,0
294,Post Dinner Blood Sugar,30,80,40,40.00,2
295,POTASSIUM,100,250,120,130.00,-4
296,PPBS,30,80,40,40.00,2
297,PRE OP MAJOR PROFILE,800,1200,"1,000",200.00,0
298,PRE OP MINOR PROFILE,500,800,620,180.00,-4
299,Pregnance Test,150,300,200,100.00,10
300,PRO CALCITONIN (PCT),2200,2400,"2,400",0.00,-280
301,PROGESTERON,280,550,350,200.00,0
302,PROLACTIN,200,550,250,300.00,0
303,"Prolactin Pooled (0,20,60)",250,650,330,320.00,14
304,PROTEIN ALB GLOB WITH AG Ratio,100,250,120,130.00,-4
305,PROTEIN C,2700,3500,"3,380",120.00,4
306,Protein Electrophoresis,450,1000,580,420.00,14
307,PROTEIN S,3200,3500,"3,500",0.00,-400
309,PS FOR MP,80,150,100,50.00,0
310,PSA,280,700,350,350.00,0
311,PT,200,300,250,50.00,0
312,PTH,550,900,700,200.00,10
313,Pus RM,450,600,570,30.00,6
314,Quad Marker Scree(15-21 Weeks),1800,3000,"2,250",750.00,0
315,RA (RF),250,350,320,30.00,6
316,RBS,30,80,40,40.00,2
317,Renal Function Tests (RFT),400,750,500,250.00,0
319,RETIC COUNT,150,300,200,100.00,10
320,Rubella IgM,250,800,320,480.00,6
321,RUBELLIA IgG,250,400,320,80.00,6
322,Scrub Typhus Serology,1400,2000,"1,750",250.00,0
323,SEMEN Examination,250,400,320,80.00,6
324,SERUM OSMOLALITY,400,800,500,300.00,0
325,Serum protein electrophoresis,400,1000,500,500.00,0
326,SGOT,100,250,120,130.00,-4
327,SGPT,100,250,120,130.00,-4
329,SODIUM,100,250,120,130.00,-4
330,Sputum  for A.F.B.,150,250,200,50.00,10
331,Sputum  for A.F.B. 3 days,400,700,500,200.00,0
332,SPUTUM EXAMINATION,450,450,450,0.00,-90
333,STONE ANALYSIS,1150,1000,"1,000",0.00,-350
334,STOOL R&M,200,250,250,0.00,0
335,Stool RM 3 Days,500,600,600,0.00,-20
336,Stool RM 5 Days,800,1000,"1,000",0.00,0
337,SUGAR FBS AND PPBS,60,160,80,80.00,4
